serial,item_name,pieces,net_weight,amount,majuri,total_amount,final_amount,metal,avg_weight_per_pc,sales_weight,item_category
74,CHAIN LONG,20,284.85,2826161,0,2826161,2826161,Gold,14.242500000000001,0.0819424924048044,Chains
75,CHAIN DROP,8,10.88,102980,0,102980,102980,Gold,1.36,0.0029858305552467666,Chains
76,BUGADI TAR,1,1.03,10500,0,10500,10500,Gold,1.03,0.00030443989930171924,Earrings
77,BUGADI,6,7.59,84800,0,84800,84800,Gold,1.265,0.0024587146153129324,Earrings
78,BRACELET L,1,4.731,44260,0,44260,44260,Gold,4.731,0.0012832866612470565,Bracelets
79,BRACELET J,3,39.02,384130,0,384130,384130,Gold,13.006666666666668,0.01113757128750185,Bracelets
80,BILVER,4,60.12,483000,0,483000,483000,Gold,15.03,0.014004235367879085,Other
81,BARSE BRACELET,0,0.6,5500,0,5500,5500,Gold,0.6,0.00015946851868185293,Bracelets
82,BALANGATHI,39,15.35,166060,0,166060,166060,Gold,0.3935897435897436,0.004814789493147,Other
1,VEDANI PLANE,51,210.4,11005,0,11005,11005,Silver,4.125490196078432,0.0031151148884375596,Ornaments
2,VEDANI NAKSHI,13,116.61,12960,0,12960,12960,Silver,8.97,0.003668504221185895,Ornaments
3,VATI PLANE,6,164.2,18610,0,18610,18610,Silver,27.366666666666664,0.005267813546008449,Utensils
4,VATI NAKSHI,4,105.5,11630,0,11630,11630,Silver,26.375,0.0032920296367586386,Utensils
5,VALE SELAM,3,70.4,7458,0,7458,7458,Silver,23.46666666666667,0.0021110883087657717,Ornaments
6,VALE POKAL,14,326.2,37130,0,37130,37130,Silver,23.3,0.010510151368258664,Ornaments
7,VALE GHATTA,4,103.78,11910,0,11910,11910,Silver,25.945,0.0033712874440064823,Ornaments
8,VALE GEJJI,20,537.0,61265,0,61265,61265,Silver,26.85,0.01734189128942545,Ornaments
9,TATH PLANE,2,254.0,25801,0,25801,25801,Silver,127.0,0.0073033238742914565,Other
10,TAMHAN,6,658.0,78312,0,78312,78312,Silver,109.66666666666667,0.022167276432832547,Pooja Items
11,TAMBYA NAKSHI,1,153.0,15761,0,15761,15761,Silver,153.0,0.004461365357261643,Other
12,SL LOOSE ITEM,2,37.2,4050,0,4050,4050,Silver,18.6,0.0011464075691205921,Other
13,SHIVLING,5,83.6,9005,0,9005,9005,Silver,16.72,0.002548987693810107,Idols
14,SAMAI 6-12,1,100.0,10500,0,10500,10500,Silver,100.0,0.0029721677717941277,Pooja Items
15,SAMAI 3-6,5,658.0,74409,0,74409,74409,Silver,131.6,0.021062479212517072,Pooja Items
16,PRATIMA..,1,12.5,1350,0,1350,1350,Silver,12.5,0.0003821358563735307,Other
17,PILE,2,7.9,930,0,930,930,Silver,3.95,0.0002632491455017656,Other
18,PAYAL ADJ,1,21.9,2628,0,2628,2628,Silver,21.9,0.0007438911337404731,Anklets
19,PAN NARAL,1,17.1,1920,0,1920,1920,Silver,17.1,0.0005434821068423548,Other
20,PALNA,1,10.5,1520,0,1520,1520,Silver,10.5,0.00043025666791686424,Other
21,PADUKA,4,44.6,5400,0,5400,5400,Silver,11.15,0.0015285434254941228,Other
22,PADAM PLATE,1,41.0,4300,0,4300,4300,Silver,41.0,0.0012171734684490237,Utensils
23,NAG MACHINE,1,16.0,1630,0,1630,1630,Silver,16.0,0.00046139366362137415,Other
24,NAG HANDMADE,2,16.5,2115,0,2115,2115,Silver,8.25,0.0005986795083185314,Other
25,MUKHOTA,4,353.3,44890,0,44890,44890,Silver,88.325,0.01270672488341318,Other
26,MEKHALA,1,33.0,3630,0,3630,3630,Silver,33.0,0.0010275208582488271,Other
27,MADHE VAT DIVA,2,79.6,8550,0,8550,8550,Silver,39.8,0.0024201937570323614,Pooja Items
28,LOCKET SL,34,48.01,20445,0,20445,20445,Silver,1.4120588235294118,0.0057872352470791375,Other
29,LINGADKAI-CHAIN,2,82.5,8980,0,8980,8980,Silver,41.25,0.0025419111038772636,Chains
30,LAXMI MURTI SOLID,2,91.5,9290,0,9290,9290,Silver,45.75,0.0026296608190445186,Idols
31,LAXMI MURTI,5,236.3,27415,0,27415,27415,Silver,47.260000000000005,0.007760188520355811,Idols
32,LAXMI DIVA,2,80.5,8450,0,8450,8450,Silver,40.25,0.0023918873973009886,Pooja Items
33,KUMKUM,16,532.94,56743,0,56743,56743,Silver,33.30875,0.01606187770237278,Other
34,KARANDA,2,67.84,8450,0,8450,8450,Silver,33.92,0.0023918873973009886,Other
35,KANBATLA,3,8.4,1530,0,1530,1530,Silver,2.8000000000000003,0.0004330873038900015,Other
36,KALAS,1,108.5,12782,0,12782,12782,Silver,108.5,0.003618118900864052,Other
37,KADALI,16,183.2,20530,0,20530,20530,Silver,11.45,0.005811295652850804,Chains
38,KADADORA SAKALI,15,252.39,27885,0,27885,27885,Silver,16.826,0.007893228411093262,Chains
39,KADADORA GOAF,5,68.8,7150,0,7150,7150,Silver,13.76,0.0020239047207931443,Chains
40,KADADORA BALL,4,89.32,11075,0,11075,11075,Silver,22.33,0.0031349293402495207,Chains
41,KADA SIKH,15,342.64,40195,0,40195,40195,Silver,22.842666666666666,0.011377741294025235,Chains
42,KADA LOCK,14,340.43,40680,0,40680,40680,Silver,24.31642857142857,0.011515027138722392,Chains
43,KADA FANCY,30,715.71,82920,0,82920,82920,Silver,23.857000000000003,0.0234716334892542,Chains
44,JODAVI PLANE,57,1193.02,141900,0,141900,141900,Silver,20.930175438596493,0.04016672445881778,Ornaments
45,JODAVI NAKSHI,47,843.73,99600,0,99600,99600,Silver,17.951702127659576,0.028193134292447155,Ornaments
46,JODAVI FANCY,51,274.82,34660,0,34660,34660,Silver,5.388627450980392,0.009810984282893759,Ornaments
47,HAST,1,2.2,400,0,400,400,Silver,2.2,0.00011322543892549059,Other
48,GUNDGADGI,18,377.41,43890,0,43890,43890,Silver,20.967222222222222,0.012423661286099454,Other
49,GLASS,13,819.5,90930,0,90930,90930,Silver,63.03846153846154,0.025738972903737146,Utensils
50,GHODA SOLID,2,96.1,10150,0,10150,10150,Silver,48.05,0.0028730955127343237,Other
51,GHODA,7,151.1,16840,0,16840,16840,Silver,21.585714285714285,0.004766790978763154,Other
52,GANESH MURTI,7,233.3,26280,0,26280,26280,Silver,33.32857142857143,0.007438911337404731,Idols
53,GANDH PLATE,2,41.5,4150,0,4150,4150,Silver,20.75,0.0011747139288519647,Utensils
54,GAI VASRU,1,20.3,2200,0,2200,2200,Silver,20.3,0.0006227399140901983,Other
55,GADU,2,86.15,10800,0,10800,10800,Silver,43.075,0.0030570868509882457,Other
56,FULPATRA,4,163.5,16965,0,16965,16965,Silver,40.875,0.0048021739284273696,Other
57,FLOWER,3,27.0,3450,0,3450,3450,Silver,9.0,0.0009765694107323564,Other
58,FINGER RING,50,184.91,28200,0,28200,28200,Silver,3.6982,0.007982393444247086,Other
59,DABE,1,5.5,700,0,700,700,Silver,5.5,0.00019814451811960853,Other
60,COIN,1,10.0,1100,0,1100,1100,Silver,10.0,0.00031136995704509913,Other
61,CHOURAS,0,669.5,62933,0,62933,62933,Silver,669.5,0.017814041369744748,Other
62,CHAMCHA,8,121.02,12314,0,12314,12314,Silver,15.1275,0.0034856451373212276,Other
63,CHALLA,1,23.0,2900,0,2900,2900,Silver,23.0,0.0008208844322098067,Anklets
64,"CHAL F 9.5""",6,156.61,17550,0,17550,17550,Silver,26.10166666666667,0.004967766132855899,Anklets
65,"CHAL F 9""",3,79.6,9320,0,9320,9320,Silver,26.53333333333333,0.002638152726963931,Anklets
66,"CHAL F 10.5""",14,409.7,49600,0,49600,49600,Silver,29.264285714285712,0.014039954426760832,Anklets
67,"CHAL F 10""",30,893.42,104275,0,104275,104275,Silver,29.780666666666665,0.029516456609888827,Anklets
68,"CHAL 9.5""",16,696.2,81760,0,81760,81760,Silver,43.5125,0.023143279716370275,Anklets
69,"CHAL 9""",13,580.3,64375,0,64375,64375,Silver,44.638461538461534,0.018222219077071142,Anklets
70,"CHAL 8.5""",7,258.2,28830,0,28830,28830,Silver,36.885714285714286,0.008160723510554734,Anklets
71,"CHAL 8""",8,300.5,34700,0,34700,34700,Silver,37.5625,0.009822306826786309,Anklets
72,"CHAL 7.5""",14,469.8,55575,0,55575,55575,Silver,33.55714285714286,0.01573125942071035,Anklets
73,"CHAL 7""",11,396.5,43630,0,43630,43630,Silver,36.04545454545455,0.012350064750797885,Anklets
74,"CHAL 6.5""",22,824.3,94680,0,94680,94680,Silver,37.46818181818182,0.02680046139366362,Anklets
75,"CHAL 6""",19,595.8,66280,0,66280,66280,Silver,31.357894736842102,0.01876145522995379,Anklets
76,"CHAL 5.5""",16,450.67,50840,0,50840,50840,Silver,28.166875,0.014390953287429854,Anklets
77,"CHAL 5""",8,197.7,23230,0,23230,23230,Silver,24.7125,0.006575567365597865,Anklets
78,"CHAL 11""",17,778.5,86380,0,86380,86380,Silver,45.794117647058826,0.02445103353595969,Anklets
79,"CHAL 10.5""",47,2418.8,276225,0,276225,276225,Silver,51.46382978723405,0.07818924216798409,Anklets
80,CHAL 10,102,4660.1,529517,0,529517,529517,Silver,45.687254901960785,0.1498869868587725,Anklets
81,CHAIN,82,1132.83,145345,0,145345,145345,Silver,13.815,0.04114187855156357,Chains
82,BRACELET SMALL,6,56.77,7000,0,7000,7000,Silver,9.461666666666668,0.001981445181196085,Bracelets
83,BRACELET L MICRO,7,72.79,10000,0,10000,10000,Silver,10.39857142857143,0.0028306359731372645,Bracelets
84,BRACELET J MICRO,3,26.4,3625,0,3625,3625,Silver,8.799999999999999,0.0010261055402622584,Bracelets
85,BRACELET,56,1326.1,159699,0,159699,159699,Silver,23.68035714285714,0.0452049734274048,Bracelets
86,BINDALI,29,180.8,22730,0,22730,22730,Silver,6.23448275862069,0.006434035566941002,Other
87,BICHVA,0,19.93,2230,0,2230,2230,Silver,19.93,0.00063123182200961,Other
88,BARSE CHAL,4,39.83,4230,0,4230,4230,Silver,9.9575,0.0011973590166370629,Anklets
89,AARTI SET,1,173.0,27799,0,27799,27799,Silver,173.0,0.007868884941724281,Pooja Items
90,AARTI GOL VAT,2,70.45,7500,0,7500,7500,Silver,35.225,0.0021229769798529483,Pooja Items
91,AARTI FANCY,1,43.0,6400,0,6400,6400,Silver,43.0,0.0018116070228078494,Pooja Items
92,AARTI EK TOK,2,48.0,4944,0,4944,4944,Silver,24.0,0.0013994664251190637,Pooja Items
93,"45CHAL 9.5""",3,120.5,11080,0,11080,11080,Silver,40.166666666666664,0.003136344658236089,Anklets
94,"45CHAL 6.5""",1,29.8,2600,0,2600,2600,Silver,29.8,0.0007359653530156888,Anklets
95,"45CHAL 6""",2,77.0,7700,0,7700,7700,Silver,38.5,0.002179589699315694,Anklets
96,"45CHAL 5""",1,28.0,2550,0,2550,2550,Silver,28.0,0.0007218121731500024,Anklets
97,"45CHAL 10.5""",2,63.2,6050,0,6050,6050,Silver,31.6,0.001712534763748045,Anklets
98,"45CHAL 10""",4,212.5,20975,0,20975,20975,Silver,53.125,0.005937258953655412,Anklets
